x,y,z,value
2.200000,2.267949,0.000000,0.451056
2.100000,2.094744,0.000000,0.447988
1.900000,2.094744,0.000000,0.448031
2.000000,1.921539,0.000000,0.446944
1.800000,1.921539,0.000000,0.450988
2.200000,1.921539,0.000000,0.450883
1.900000,1.748334,0.000000,0.447905
1.700000,1.748334,0.000000,0.455974
1.600000,1.921539,0.000000,0.463170
1.500000,1.748334,0.000000,0.472351
1.800000,1.575129,0.000000,0.450872
1.400000,1.921539,0.000000,0.483946
1.300000,1.748334,0.000000,0.497631
1.200000,1.921539,0.000000,0.514132
1.100000,1.748334,0.000000,0.532764
1.200000,1.575129,0.000000,0.513713
1.300000,2.094744,0.000000,0.497922
1.100000,2.094744,0.000000,0.533385
1.200000,2.267949,0.000000,0.514333
1.000000,2.267949,0.000000,0.555341
1.100000,2.441154,0.000000,0.533205
1.000000,1.575129,0.000000,0.554003
1.100000,1.401924,0.000000,0.532486
2.300000,2.787565,0.000000,0.456385
2.400000,2.614359,0.000000,0.463404
2.500000,2.787565,0.000000,0.472786
2.600000,2.614359,0.000000,0.484171
2.700000,2.787565,0.000000,0.498134
2.800000,2.614359,0.000000,0.514360
2.900000,2.787565,0.000000,0.533415
3.000000,2.614359,0.000000,0.555263
2.900000,2.441154,0.000000,0.533181
2.000000,1.575129,0.000000,0.446836
1.900000,1.401924,0.000000,0.447809
2.100000,1.401924,0.000000,0.447777
2.000000,1.228719,0.000000,0.446755
2.200000,1.228719,0.000000,0.450752
2.100000,1.055514,0.000000,0.447712
1.900000,1.055514,0.000000,0.447682
2.300000,1.055514,0.000000,0.455810
2.400000,1.228719,0.000000,0.462883
2.500000,1.055514,0.000000,0.472243
2.600000,1.228719,0.000000,0.483559
2.700000,1.055514,0.000000,0.497584
2.800000,1.228719,0.000000,0.513531
2.900000,1.055514,0.000000,0.532868
3.000000,1.228719,0.000000,0.553943
2.900000,1.401924,0.000000,0.531932
1.600000,3.307180,0.000000,0.463649
2.600000,2.960769,0.000000,0.484408
3.100000,2.787565,0.000000,0.580079
3.000000,2.960769,0.000000,0.555174
3.100000,1.055514,0.000000,0.579598
3.000000,0.882309,0.000000,0.555434
2.400000,0.883249,0.000000,0.463051
3.100000,2.441154,0.000000,0.580063
