x,y,z,value
3.641482,3.034690,0.000000,-1.600297
1.003269,3.655477,0.000000,-4.948040
2.983915,0.318369,0.000000,-4.993109
0.346410,1.000000,0.000000,-1.484474
0.362279,3.363270,0.000000,-1.623185
3.398305,3.661291,0.000000,-3.010429
0.601695,0.338709,0.000000,-3.063982
3.668201,0.602373,0.000000,-1.402408
1.400545,3.653904,0.000000,-6.267530
1.600091,3.307232,0.000000,-6.657533
2.000015,3.307189,0.000000,-6.936786
1.800018,2.960780,0.000000,-6.868790
2.200006,2.960773,0.000000,-6.862890
2.000004,2.614362,0.000000,-6.936656
1.598664,2.615850,0.000000,-6.635193
1.797156,2.269653,0.000000,-6.864599
2.199527,2.268234,0.000000,-6.865024
1.999447,1.921870,0.000000,-6.951504
2.399829,1.921642,0.000000,-6.623916
1.596812,1.923333,0.000000,-6.620860
1.799376,1.575483,0.000000,-6.870682
1.403206,1.577705,0.000000,-6.217381
2.599893,2.268014,0.000000,-6.226351
2.817817,1.934644,0.000000,-5.607636
2.602941,1.577330,0.000000,-6.200529
1.195767,1.923128,0.000000,-5.629991
1.600430,1.229207,0.000000,-6.628761
1.200000,1.228719,0.000000,-5.679569
1.999968,1.228859,0.000000,-6.943724
1.800000,0.882309,0.000000,-6.875080
3.006450,2.280521,0.000000,-4.916835
2.801057,2.616466,0.000000,-5.678733
3.014143,1.594902,0.000000,-4.926337
2.800000,1.228719,0.000000,-5.683717
3.200000,2.614359,0.000000,-4.067065
2.988574,2.954422,0.000000,-4.981168
2.200000,0.882309,0.000000,-6.893765
3.243924,1.219014,0.000000,-3.884514
2.995095,0.886251,0.000000,-4.931387
1.200651,3.307555,0.000000,-5.687327
0.797636,3.318793,0.000000,-4.039344
0.999714,2.964231,0.000000,-4.953881
0.597976,2.972641,0.000000,-3.016785
0.786972,2.613945,0.000000,-4.012111
0.590026,2.238757,0.000000,-2.987104
0.984559,2.259034,0.000000,-4.890993
0.802450,1.895534,0.000000,-4.079275
0.651833,1.521555,0.000000,-3.327413
1.395493,2.269023,0.000000,-6.203673
2.400003,3.307182,0.000000,-6.645564
3.597674,2.611593,0.000000,-1.851015
2.600000,0.346410,0.000000,-6.213765
3.663096,1.797894,0.000000,-1.439223
